Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Rollover,ExitType
,Long,EUR/CHF,817999,1,22.05.13 15:00,28.05.13 14:00,1.26149,1.25368,-6.2934,0.01000,Target
,Long,EUR/CHF,818600,1,22.05.13 18:30,28.05.13 14:00,1.25900,1.25368,-4.2170,0.01000,Target
,Long,EUR/CHF,822401,1,23.05.13 13:30,28.05.13 14:00,1.24526,1.25368,6.8261,0.00800,Target
,Long,EUR/CHF,822502,2,23.05.13 14:00,28.05.13 14:00,1.24847,1.25368,8.4720,0.01600,Target
,Long,EUR/CHF,822603,4,23.05.13 14:30,28.05.13 14:00,1.25109,1.25368,8.4683,0.03200,Target
,Long,EUR/CHF,823504,6,23.05.13 19:00,28.05.13 14:00,1.25348,1.25368,1.16093,0.04800,Target
,Long,EUR/CHF,828905,11,27.05.13 01:00,28.05.13 14:00,1.24259,1.25368,98.736,0.02200,Target
,Long,EUR/CHF,836406,1,28.05.13 14:30,28.05.13 20:00,1.25405,1.25581,1.42586,0.00000,Target
,Long,EUR/CHF,837807,1,28.05.13 21:30,07.06.13 15:00,1.25581,1.23772,-14.6015,0.01800,Target
,Long,EUR/CHF,839708,1,29.05.13 07:00,07.06.13 15:00,1.25329,1.23772,-12.5097,0.01600,Target
,Long,EUR/CHF,842209,1,29.05.13 19:30,07.06.13 15:00,1.24564,1.23772,-6.3590,0.01600,Target
,Long,EUR/CHF,844410,1,30.05.13 06:30,07.06.13 15:00,1.24362,1.23772,-4.7381,0.01400,Target
,Long,EUR/CHF,854711,2,03.06.13 13:00,07.06.13 15:00,1.24874,1.23772,-17.7318,0.01600,Target
,Long,EUR/CHF,856512,4,03.06.13 22:00,07.06.13 15:00,1.23826,1.23772,-1.70349,0.03200,Target
,Long,EUR/CHF,858213,6,04.06.13 06:30,07.06.13 15:00,1.24088,1.23772,-15.2831,0.03600,Target
,Long,EUR/CHF,866014,11,05.06.13 21:30,07.06.13 15:00,1.23368,1.23772,36.046,0.04400,Target
,Long,EUR/CHF,872515,17,07.06.13 06:00,07.06.13 15:00,1.23049,1.23772,99.782,0.00000,Target
,Long,EUR/CHF,873216,29,07.06.13 09:30,07.06.13 15:00,1.22838,1.23772,219.36,0.00000,Target
,Long,EUR/CHF,874417,1,07.06.13 15:30,10.06.13 07:00,1.23713,1.23889,1.44537,0.00400,Target
,Long,EUR/CHF,877318,1,10.06.13 09:00,10.06.13 13:00,1.23846,1.24022,1.42980,0.00000,Target
,Long,EUR/CHF,878319,1,10.06.13 14:00,27.06.13 12:00,1.23969,1.23296,-5.3872,0.03000,Target
,Long,EUR/CHF,881020,1,11.06.13 03:30,27.06.13 12:00,1.23728,1.23296,-3.4617,0.02800,Target
,Long,EUR/CHF,883721,1,11.06.13 17:00,27.06.13 12:00,1.23135,1.23296,1.35975,0.02800,Target
,Long,EUR/CHF,889822,1,12.06.13 23:30,27.06.13 12:00,1.22829,1.23296,3.8271,0.02600,Target
