
BackTest: Z4 EUR/CHF 2011..2014
[292: Thu 01.09. 04:00]  1.16048-1.15673-1.16060-1.15701
[293: Thu 01.09. 05:00]  1.15701-1.15456-1.15718-1.15472
[294: Thu 01.09. 06:00]  1.15472-1.15410-1.15733-1.15526
[295: Thu 01.09. 07:00]  1.15526-1.15503-1.15907-1.15833
[296: Thu 01.09. 08:00]  1.15833-1.14838-1.15914-1.15072
[297: Thu 01.09. 09:00]  1.15072-1.13794-1.15112-1.14244
[298: Thu 01.09. 10:00]  1.14244-1.13900-1.14485-1.14283
[299: Thu 01.09. 11:00]  1.14283-1.14124-1.14340-1.14183
[300: Thu 01.09. 12:00]  1.14183-1.13988-1.14523-1.14231
[301: Thu 01.09. 13:00]  1.14231-1.13981-1.14316-1.14108
[302: Thu 01.09. 14:00]  1.14108-1.13839-1.14259-1.13927
[303: Thu 01.09. 15:00]  1.13927-1.13424-1.14667-1.13424
[304: Thu 01.09. 16:00]  1.13424-1.13332-1.13820-1.13583
[305: Thu 01.09. 17:00]  1.13583-1.13238-1.13594-1.13541
[306: Thu 01.09. 18:00]  1.13541-1.13227-1.13590-1.13328
[307: Thu 01.09. 19:00]  1.13328-1.13282-1.13443-1.13366
[308: Thu 01.09. 20:00]  1.13366-1.13298-1.13528-1.13323
[309: Thu 01.09. 21:00]  1.13323-1.13320-1.13528-1.13484
[310: Thu 01.09. 22:00]  1.13484-1.13337-1.13530-1.13435
[311: Thu 01.09. 23:00]  1.13435-1.13384-1.13542-1.13466
[312: Fri 02.09. 00:00]  1.13466-1.13385-1.13544-1.13401
[313: Fri 02.09. 01:00]  1.13401-1.13362-1.13538-1.13528
[314: Fri 02.09. 02:00]  1.13528-1.13431-1.13550-1.13476
[315: Fri 02.09. 03:00]  1.13476-1.13182-1.13500-1.13248
[316: Fri 02.09. 04:00]  1.13248-1.12951-1.13260-1.13190
[317: Fri 02.09. 05:00]  1.13190-1.13092-1.13210-1.13126
[318: Fri 02.09. 06:00]  1.13126-1.12820-1.13135-1.12989
[319: Fri 02.09. 07:00]  1.12989-1.12332-1.13105-1.12439
[320: Fri 02.09. 08:00]  1.12439-1.11223-1.12474-1.11940
[321: Fri 02.09. 09:00]  1.11940-1.11217-1.12194-1.11250
[322: Fri 02.09. 10:00]  1.11250-1.10644-1.11359-1.11303
[323: Fri 02.09. 11:00]  1.11303-1.10996-1.11312-1.11277
[324: Fri 02.09. 12:00]  1.11277-1.11146-1.11398-1.11330
[325: Fri 02.09. 13:00]  1.11330-1.10031-1.11382-1.10797
[326: Fri 02.09. 14:00]  1.10797-1.10767-1.11582-1.11056
[327: Fri 02.09. 15:00]  1.11056-1.11037-1.11859-1.11239
[328: Fri 02.09. 16:00]  1.11239-1.11226-1.11954-1.11699
[329: Fri 02.09. 17:00]  1.11699-1.11548-1.11831-1.11780
[330: Fri 02.09. 18:00]  1.11780-1.11620-1.11847-1.11732
[331: Fri 02.09. 19:00]  1.11732-1.11674-1.11895-1.11890
[332: Fri 02.09. 20:00]  1.11890-1.11858-1.12255-1.12071
[333: Fri 02.09. 21:00]  1.12071-1.12070-1.12163-1.12149
[334: Sun 04.09. 22:00]  1.12149-1.11507-1.12149-1.11701
[335: Sun 04.09. 23:00]  1.11701-1.11560-1.11978-1.11962
[336: Mon 05.09. 00:00]  1.11962-1.11662-1.11967-1.11748
[337: Mon 05.09. 01:00]  1.11748-1.11748-1.11983-1.11921
[338: Mon 05.09. 02:00]  1.11921-1.11763-1.12049-1.11799
[339: Mon 05.09. 03:00]  1.11799-1.11724-1.11914-1.11848
[340: Mon 05.09. 04:00]  1.11848-1.11714-1.11878-1.11799
[341: Mon 05.09. 05:00]  1.11799-1.11675-1.11830-1.11704
[342: Mon 05.09. 06:00]  1.11704-1.11534-1.11838-1.11601
[343: Mon 05.09. 07:00]  1.11601-1.10858-1.11753-1.11057
[344: Mon 05.09. 08:00]  1.11057-1.10950-1.11580-1.11260
[345: Mon 05.09. 09:00]  1.11260-1.11056-1.11384-1.11056
[346: Mon 05.09. 10:00]  1.11056-1.11044-1.11552-1.11261
[347: Mon 05.09. 11:00]  1.11261-1.11055-1.11304-1.11177
[348: Mon 05.09. 12:00]  1.11177-1.10846-1.11262-1.11112
[349: Mon 05.09. 13:00]  1.11112-1.10712-1.11239-1.10867
[350: Mon 05.09. 14:00]  1.10867-1.10221-1.11154-1.10334
[351: Mon 05.09. 15:00]  1.10334-1.10185-1.11104-1.11060
[352: Mon 05.09. 16:00]  1.11060-1.10505-1.11515-1.10783
[353: Mon 05.09. 17:00]  1.10783-1.10654-1.11089-1.11016
[354: Mon 05.09. 18:00]  1.11016-1.10612-1.11016-1.10790
[355: Mon 05.09. 19:00]  1.10790-1.10709-1.10880-1.10808
[356: Mon 05.09. 20:00]  1.10808-1.10749-1.10991-1.10982
[357: Mon 05.09. 21:00]  1.10982-1.10879-1.10999-1.10996
[358: Mon 05.09. 22:00]  1.10996-1.10870-1.11023-1.10960
[359: Mon 05.09. 23:00]  1.10960-1.10474-1.10989-1.10522
[360: Tue 06.09. 00:00]  1.10522-1.10481-1.10622-1.10487
[361: Tue 06.09. 01:00]  1.10487-1.10433-1.10582-1.10490
[362: Tue 06.09. 02:00]  1.10490-1.10380-1.10548-1.10435
[363: Tue 06.09. 03:00]  1.10435-1.10419-1.10614-1.10595
