
Walk-Forward Test: Z3 portfolio 2008..2013
Read Z3.fac
Read Z3_1.par
[4614: Wed 26.01. 12:00]  04614
[4615: Wed 26.01. 16:00]  04615
[4616: Wed 26.01. 20:00]  04616
[4617: Thu 27.01. 00:00]  04617
[4618: Thu 27.01. 04:00]  04618
[4619: Thu 27.01. 08:00]  04619
[4620: Thu 27.01. 12:00]  04620
[4621: Thu 27.01. 16:00]  04621
[4622: Thu 27.01. 20:00]  04622
[4623: Fri 28.01. 00:00]  04623
[4624: Fri 28.01. 04:00]  04624
[4625: Fri 28.01. 08:00]  04625
[4626: Fri 28.01. 12:00]  04626
[4627: Fri 28.01. 16:00]  04627
[4628: Mon 31.01. 00:00]  04628
[4629: Mon 31.01. 04:00]  04629
[4630: Mon 31.01. 08:00]  04630
[4631: Mon 31.01. 12:00]  04631
[4632: Mon 31.01. 16:00]  04632
[4633: Mon 31.01. 20:00]  04633
[4634: Tue 01.02. 00:00]  04634
[4635: Tue 01.02. 04:00]  04635
[4636: Tue 01.02. 08:00]  04636
[4637: Tue 01.02. 12:00]  04637
[4638: Tue 01.02. 16:00]  04638
[4639: Tue 01.02. 20:00]  04639
[4640: Wed 02.02. 00:00]  04640
[4641: Wed 02.02. 04:00]  04641
[4642: Wed 02.02. 08:00]  04642
[4643: Wed 02.02. 12:00]  04643
[4644: Wed 02.02. 16:00]  04644
[4645: Wed 02.02. 20:00]  04645
[4646: Thu 03.02. 00:00]  04646
[4647: Thu 03.02. 04:00]  04647
[4648: Thu 03.02. 08:00]  04648
[4649: Thu 03.02. 12:00]  04649
[4650: Thu 03.02. 16:00]  04650
[4651: Thu 03.02. 20:00]  04651
[4652: Fri 04.02. 00:00]  04652
[4653: Fri 04.02. 04:00]  04653
[4654: Fri 04.02. 08:00]  04654
[4655: Fri 04.02. 12:00]  04655
[4656: Fri 04.02. 16:00]  04656
[4657: Mon 07.02. 00:00]  04657
[4658: Mon 07.02. 04:00]  04658
[4659: Mon 07.02. 08:00]  04659
[4660: Mon 07.02. 12:00]  04660
[4661: Mon 07.02. 16:00]  04661
[4662: Mon 07.02. 20:00]  04662
[4663: Tue 08.02. 00:00]  04663
[4664: Tue 08.02. 04:00]  04664
[4665: Tue 08.02. 08:00]  04665
[4666: Tue 08.02. 12:00]  04666
[4667: Tue 08.02. 16:00]  04667
[4668: Tue 08.02. 20:00]  04668
[4669: Wed 09.02. 00:00]  04669
[4670: Wed 09.02. 04:00]  04670
[4671: Wed 09.02. 08:00]  04671
[4672: Wed 09.02. 12:00]  04672
[4673: Wed 09.02. 16:00]  04673
[4674: Wed 09.02. 20:00]  04674
[4675: Thu 10.02. 00:00]  04675
[4676: Thu 10.02. 04:00]  04676
[4677: Thu 10.02. 08:00]  04677
[4678: Thu 10.02. 12:00]  04678
[4679: Thu 10.02. 16:00]  04679
[4680: Thu 10.02. 20:00]  04680
[4681: Fri 11.02. 00:00]  04681
[4682: Fri 11.02. 04:00]  04682
[4683: Fri 11.02. 08:00]  04683
[4684: Fri 11.02. 12:00]  04684
[4685: Fri 11.02. 16:00]  04685
[4686: Mon 14.02. 00:00]  04686
[4687: Mon 14.02. 04:00]  04687
[4688: Mon 14.02. 08:00]  04688
[4689: Mon 14.02. 12:00]  04689
[4690: Mon 14.02. 16:00]  04690
[4691: Mon 14.02. 20:00]  04691
[4692: Tue 15.02. 00:00]  04692
[4693: Tue 15.02. 04:00]  04693
[4694: Tue 15.02. 08:00]  04694
[4695: Tue 15.02. 12:00]  04695
[4696: Tue 15.02. 16:00]  04696
[4697: Tue 15.02. 20:00]  04697
[4698: Wed 16.02. 00:00]  04698
[4699: Wed 16.02. 04:00]  04699
[4700: Wed 16.02. 08:00]  04700
[4701: Wed 16.02. 12:00]  04701
[4702: Wed 16.02. 16:00]  04702
[4703: Wed 16.02. 20:00]  04703
[4704: Thu 17.02. 00:00]  04704
[4705: Thu 17.02. 04:00]  04705
[4706: Thu 17.02. 08:00]  04706
[4707: Thu 17.02. 12:00]  04707
[4708: Thu 17.02. 16:00]  04708
[4709: Thu 17.02. 20:00]  04709
[4710: Fri 18.02. 00:00]  04710
[4711: Fri 18.02. 04:00]  04711
[4712: Fri 18.02. 08:00]  04712
[4713: Fri 18.02. 12:00]  04713
[4714: Fri 18.02. 16:00]  04714
[4715: Mon 21.02. 00:00]  04715
[4716: Mon 21.02. 04:00]  04716
[4717: Mon 21.02. 08:00]  04717
[4718: Mon 21.02. 12:00]  04718
[4719: Mon 21.02. 16:00]  04719
[4720: Mon 21.02. 20:00]  04720
[4721: Tue 22.02. 00:00]  04721
[4722: Tue 22.02. 04:00]  04722
[4723: Tue 22.02. 08:00]  04723
[4724: Tue 22.02. 12:00]  04724
[4725: Tue 22.02. 16:00]  04725
[4726: Tue 22.02. 20:00]  04726
